curve,peak_id,wavelength_nm,normalized_intensity,prominence
Y6,1,471.44266337854503,0.3435897435897436,0.2
Y6,2,687.4722564734896,0.9827838827838827,0.9179487179487179
Y6-2Se,1,483.5758323057953,0.2824175824175824,0.13992673992673993
Y6-2Se,2,701.9728729963008,0.9827838827838827,0.8743589743589744
Y6-2Te,1,730.0863131935882,0.9831501831501831,0.7402930402930402
