x,y,pixel_x,pixel_y
366.9790382244143,0.04322344322344322,16.0,1303.0
367.2749691738594,0.04322344322344322,17.0,1303.0
367.57090012330457,0.04322344322344322,18.0,1303.0
367.8668310727497,0.04322344322344322,19.0,1303.0
368.16276202219484,0.04322344322344322,20.0,1303.0
368.45869297163995,0.04322344322344322,21.0,1303.0
368.75462392108506,0.04322344322344322,22.0,1303.0
369.0505548705302,0.04322344322344322,23.0,1303.0
369.3464858199753,0.04322344322344322,24.0,1303.0
369.6424167694205,0.04395604395604396,25.0,1302.0
369.9383477188656,0.04468864468864469,26.0,1301.0
370.2342786683107,0.045054945054945054,27.0,1300.5
370.5302096177559,0.04542124542124542,28.0,1300.0
370.826140567201,0.046153846153846156,29.0,1299.0
371.1220715166461,0.04652014652014652,30.0,1298.5
371.41800246609125,0.04725274725274725,31.0,1297.5
371.71393341553636,0.04798534798534799,32.0,1296.5
372.0098643649815,0.04798534798534799,33.0,1296.5
372.30579531442663,0.04871794871794872,34.0,1295.5
372.60172626387174,0.04908424908424908,35.0,1295.0
372.8976572133169,0.04945054945054945,36.0,1294.5
373.193588162762,0.050183150183150185,37.0,1293.5
373.4895191122072,0.050915750915750915,38.0,1292.5
373.7854500616523,0.050915750915750915,39.0,1292.5
374.0813810110974,0.051648351648351645,40.0,1291.5
374.37731196054256,0.051648351648351645,41.0,1291.5
374.67324290998766,0.05238095238095238,42.0,1290.5
374.9691738594328,0.05311355311355311,43.0,1289.5
375.26510480887794,0.05311355311355311,44.0,1289.5
375.56103575832304,0.05384615384615385,45.0,1288.5
375.8569667077682,0.054212454212454214,46.0,1288.0
376.1528976572133,0.054212454212454214,47.0,1288.0
376.4488286066584,0.054945054945054944,48.0,1287.0
376.7447595561036,0.05531135531135531,49.0,1286.5
377.0406905055487,0.05567765567765568,50.0,1286.0
377.33662145499386,0.05641025641025641,51.0,1285.0
377.63255240443897,0.05641025641025641,52.0,1285.0
377.9284833538841,0.05714285714285714,53.0,1284.0
378.22441430332924,0.05714285714285714,54.0,1284.0
378.52034525277435,0.05787545787545788,55.0,1283.0
378.81627620221946,0.05787545787545788,56.0,1283.0
379.1122071516646,0.05860805860805861,57.0,1282.0
379.4081381011097,0.05860805860805861,58.0,1282.0
379.7040690505549,0.05860805860805861,59.0,1282.0
380.0,0.05934065934065934,60.0,1281.0
380.2959309494451,0.05970695970695971,61.0,1280.5
380.5918618988903,0.060073260073260075,62.0,1280.0
380.8877928483354,0.06043956043956044,63.0,1279.5
381.18372379778054,0.06043956043956044,64.0,1279.5
381.47965474722565,0.060805860805860805,65.0,1279.0
381.77558569667076,0.060805860805860805,66.0,1279.0
382.0715166461159,0.06117216117216117,67.0,1278.5
382.36744759556103,0.06153846153846154,68.0,1278.0
382.66337854500614,0.06190476190476191,69.0,1277.5
382.9593094944513,0.06190476190476191,70.0,1277.5
383.2552404438964,0.06190476190476191,71.0,1277.5
383.5511713933416,0.06263736263736264,72.0,1276.5
383.8471023427867,0.06263736263736264,73.0,1276.5
384.1430332922318,0.06263736263736264,74.0,1276.5
384.43896424167696,0.063003663003663,75.0,1276.0
384.73489519112206,0.06336996336996337,76.0,1275.5
385.0308261405672,0.06336996336996337,77.0,1275.5
385.32675709001234,0.06373626373626373,78.0,1275.0
385.62268803945744,0.0641025641025641,79.0,1274.5
385.9186189889026,0.0641025641025641,80.0,1274.5
386.2145499383477,0.0641025641025641,81.0,1274.5
386.5104808877928,0.06446886446886448,82.0,1274.0
386.806411837238,0.06483516483516484,83.0,1273.5
387.1023427866831,0.06483516483516484,84.0,1273.5
387.39827373612826,0.06483516483516484,85.0,1273.5
387.69420468557337,0.06483516483516484,86.0,1273.5
387.9901356350185,0.06556776556776557,87.0,1272.5
388.28606658446364,0.06556776556776557,88.0,1272.5
388.58199753390875,0.06556776556776557,89.0,1272.5
388.8779284833539,0.06556776556776557,90.0,1272.5
389.173859432799,0.06556776556776557,91.0,1272.5
389.4697903822441,0.06593406593406594,92.0,1272.0
389.7657213316893,0.0663003663003663,93.0,1271.5
390.0616522811344,0.0663003663003663,94.0,1271.5
390.3575832305795,0.0663003663003663,95.0,1271.5
390.6535141800247,0.0663003663003663,96.0,1271.5
390.9494451294698,0.06666666666666667,97.0,1271.0
391.24537607891494,0.06703296703296703,98.0,1270.5
391.54130702836005,0.06703296703296703,99.0,1270.5
391.83723797780516,0.06703296703296703,100.0,1270.5
392.1331689272503,0.06703296703296703,101.0,1270.5
392.42909987669543,0.06776556776556776,102.0,1269.5
392.7250308261406,0.06776556776556776,103.0,1269.5
393.0209617755857,0.06813186813186813,104.0,1269.0
393.3168927250308,0.06813186813186813,105.0,1269.0
393.612823674476,0.0684981684981685,106.0,1268.5
393.9087546239211,0.06923076923076923,107.0,1267.5
394.2046855733662,0.06923076923076923,108.0,1267.5
394.50061652281136,0.0695970695970696,109.0,1267.0
394.79654747225646,0.0695970695970696,110.0,1267.0
395.0924784217016,0.07032967032967033,111.0,1266.0
395.38840937114674,0.0706959706959707,112.0,1265.5
395.68434032059184,0.0706959706959707,113.0,1265.5
395.980271270037,0.07106227106227106,114.0,1265.0
396.2762022194821,0.07142857142857142,115.0,1264.5
396.5721331689273,0.07179487179487179,116.0,1264.0
396.8680641183724,0.07216117216117215,117.0,1263.5
397.1639950678175,0.07252747252747253,118.0,1263.0
397.45992601726266,0.0728937728937729,119.0,1262.5
397.75585696670777,0.0728937728937729,120.0,1262.5
398.0517879161529,0.07362637362637363,121.0,1261.5
398.34771886559804,0.073992673992674,122.0,1261.0
398.64364981504315,0.073992673992674,123.0,1261.0
398.9395807644883,0.07435897435897436,124.0,1260.5
399.2355117139334,0.07472527472527472,125.0,1260.0
399.5314426633785,0.07545787545787545,126.0,1259.0
399.8273736128237,0.07545787545787545,127.0,1259.0
400.1233045622688,0.07582417582417582,128.0,1258.5
400.4192355117139,0.0761904761904762,129.0,1258.0
400.7151664611591,0.07655677655677656,130.0,1257.5
401.0110974106042,0.07728937728937729,131.0,1256.5
401.30702836004934,0.07728937728937729,132.0,1256.5
401.60295930949445,0.07802197802197802,133.0,1255.5
401.89889025893956,0.07802197802197802,134.0,1255.5
402.1948212083847,0.07875457875457875,135.0,1254.5
402.49075215782983,0.07912087912087912,136.0,1254.0
402.78668310727494,0.07948717948717948,137.0,1253.5
403.0826140567201,0.08021978021978023,138.0,1252.5
403.3785450061652,0.08021978021978023,139.0,1252.5
403.6744759556104,0.08095238095238096,140.0,1251.5
403.9704069050555,0.08095238095238096,141.0,1251.5
404.2663378545006,0.08168498168498169,142.0,1250.5
404.56226880394576,0.08241758241758242,143.0,1249.5
404.85819975339086,0.08278388278388278,144.0,1249.0
405.154130702836,0.08315018315018315,145.0,1248.5
405.45006165228114,0.08351648351648351,146.0,1248.0
405.74599260172624,0.08424908424908426,147.0,1247.0
406.0419235511714,0.08461538461538462,148.0,1246.5
406.3378545006165,0.08498168498168499,149.0,1246.0
