curve,selected_rgb,selected_hex,detected_rgb,detected_hex,mask_pixels,n_points,x_min,x_max,y_min,y_max,area
Y6,"[31, 119, 180]",#1F77B4,"[31, 120, 180]",#1F78B4,41482,1687,366.9790382244143,868.5819975339087,0.04322344322344322,0.9827838827838827,195.42863917833094
Y6-2Se,"[93, 172, 226]",#5DACE2,"[93, 172, 227]",#5DACE3,41270,1663,366.9790382244143,868.8779284833539,0.01868131868131868,0.9827838827838827,194.8893375428517
Y6-2Te,"[23, 67, 96]",#174360,"[22, 67, 97]",#164361,38822,1695,367.2749691738594,868.8779284833539,0.005128205128205128,0.9831501831501831,203.95994634219048
