x,y,pixel_x,pixel_y
366.9790382244143,0.01868131868131868,16.0,1336.5
367.2749691738594,0.01868131868131868,17.0,1336.5
367.57090012330457,0.01868131868131868,18.0,1336.5
367.8668310727497,0.01868131868131868,19.0,1336.5
368.16276202219484,0.01868131868131868,20.0,1336.5
368.45869297163995,0.01868131868131868,21.0,1336.5
368.75462392108506,0.01868131868131868,22.0,1336.5
369.0505548705302,0.01868131868131868,23.0,1336.5
369.3464858199753,0.01868131868131868,24.0,1336.5
369.6424167694205,0.01868131868131868,25.0,1336.5
369.9383477188656,0.01868131868131868,26.0,1336.5
370.2342786683107,0.01904761904761905,27.0,1336.0
370.5302096177559,0.019413919413919414,28.0,1335.5
370.826140567201,0.020146520146520148,29.0,1334.5
371.1220715166461,0.020146520146520148,30.0,1334.5
371.41800246609125,0.020879120879120878,31.0,1333.5
371.71393341553636,0.02161172161172161,32.0,1332.5
372.0098643649815,0.02161172161172161,33.0,1332.5
372.30579531442663,0.022344322344322345,34.0,1331.5
372.60172626387174,0.02271062271062271,35.0,1331.0
372.8976572133169,0.023443223443223443,36.0,1330.0
373.193588162762,0.023809523809523808,37.0,1329.5
373.4895191122072,0.024175824175824177,38.0,1329.0
373.7854500616523,0.02490842490842491,39.0,1328.0
374.0813810110974,0.025274725274725275,40.0,1327.5
374.37731196054256,0.02600732600732601,41.0,1326.5
374.67324290998766,0.02673992673992674,42.0,1325.5
374.9691738594328,0.027106227106227107,43.0,1325.0
375.26510480887794,0.027472527472527472,44.0,1324.5
375.56103575832304,0.02783882783882784,45.0,1324.0
375.8569667077682,0.02857142857142857,46.0,1323.0
376.1528976572133,0.02893772893772894,47.0,1322.5
376.4488286066584,0.029304029304029304,48.0,1322.0
376.7447595561036,0.030036630036630037,49.0,1321.0
377.0406905055487,0.03076923076923077,50.0,1320.0
377.33662145499386,0.031135531135531136,51.0,1319.5
377.63255240443897,0.0315018315018315,52.0,1319.0
377.9284833538841,0.03223443223443224,53.0,1318.0
378.22441430332924,0.03296703296703297,54.0,1317.0
378.52034525277435,0.03296703296703297,55.0,1317.0
378.81627620221946,0.0336996336996337,56.0,1316.0
379.1122071516646,0.034432234432234435,57.0,1315.0
379.4081381011097,0.035164835164835165,58.0,1314.0
379.7040690505549,0.03553113553113553,59.0,1313.5
380.0,0.035897435897435895,60.0,1313.0
